Date,Visitor,G,Home,G,,Att.,LOG,Notes
2022-10-27,Minnesota Wild,4,Ottawa Senators,2,,13870,2:35,
2022-10-27,Florida Panthers,3,Philadelphia Flyers,4,,14871,2:37,
2022-10-27,Vancouver Canucks,5,Seattle Kraken,4,,17151,2:31,
2022-10-27,Toronto Maple Leafs,3,San Jose Sharks,4,OT,12507,2:21,
2022-10-28,Winnipeg Jets,3,Arizona Coyotes,2,OT,4600,2:27,
2022-10-28,New York Islanders,6,Carolina Hurricanes,2,,18680,2:29,
2022-10-28,Boston Bruins,4,Columbus Blue Jackets,0,,16162,2:19,
2022-10-28,Colorado Avalanche,0,New Jersey Devils,1,,12502,2:21,
2022-10-28,Pittsburgh Penguins,1,Vancouver Canucks,5,,18528,2:26,
2022-10-28,Anaheim Ducks,0,Vegas Golden Knights,4,,18036,2:32,
2022-10-29,Chicago Blackhawks,3,Buffalo Sabres,4,OT,14547,2:31,
2022-10-29,Edmonton Oilers,3,Calgary Flames,2,,19289,2:30,
2022-10-29,New York Rangers,6,Dallas Stars,3,,18532,2:28,
2022-10-29,Minnesota Wild,1,Detroit Red Wings,2,,17364,2:15,
2022-10-29,Ottawa Senators,3,Florida Panthers,5,,15577,2:38,
2022-10-29,Toronto Maple Leafs,2,Los Angeles Kings,4,,17530,2:28,
2022-10-29,Washington Capitals,3,Nashville Predators,0,,17159,2:32,
2022-10-29,Colorado Avalanche,4,New York Islanders,5,,17255,2:30,
2022-10-29,Carolina Hurricanes,4,Philadelphia Flyers,3,OT,13335,2:40,
2022-10-29,Pittsburgh Penguins,1,Seattle Kraken,3,,17151,2:33,
2022-10-29,Tampa Bay Lightning,4,San Jose Sharks,3,,15122,2:17,
2022-10-29,Montreal Canadiens,7,St. Louis Blues,4,,18096,2:27,
2022-10-30,Toronto Maple Leafs,3,Anaheim Ducks,4,OT,16084,2:35,
2022-10-30,New York Rangers,3,Arizona Coyotes,2,,4600,2:24,
2022-10-30,Minnesota Wild,4,Chicago Blackhawks,3,SO,14149,2:43,
2022-10-30,Columbus Blue Jackets,1,New Jersey Devils,7,,11547,2:28,
2022-10-30,Winnipeg Jets,1,Vegas Golden Knights,2,OT,17824,2:31,
2022-10-31,Detroit Red Wings,3,Buffalo Sabres,8,,9673,2:27,
2022-10-31,Washington Capitals,2,Carolina Hurricanes,3,SO,16211,2:41,
2022-10-31,Los Angeles Kings,5,St. Louis Blues,1,,17220,2:23,
2022-11-01,Florida Panthers,1,Arizona Coyotes,3,,4600,2:30,
2022-11-01,Seattle Kraken,5,Calgary Flames,4,,16803,2:33,
2022-11-01,New York Islanders,3,Chicago Blackhawks,1,,12523,2:25,
2022-11-01,Los Angeles Kings,2,Dallas Stars,5,,18374,2:28,
2022-11-01,Nashville Predators,4,Edmonton Oilers,7,,16812,2:37,
2022-11-01,Montreal Canadiens,1,Minnesota Wild,4,,16385,2:26,
2022-11-01,Philadelphia Flyers,0,New York Rangers,1,OT,17206,2:29,
2022-11-01,Boston Bruins,6,Pittsburgh Penguins,5,OT,17629,2:43,
2022-11-01,Anaheim Ducks,6,San Jose Sharks,5,SO,10058,2:42,
2022-11-01,Ottawa Senators,3,Tampa Bay Lightning,4,,19092,2:33,
2022-11-01,New Jersey Devils,5,Vancouver Canucks,2,,18548,2:24,
2022-11-01,Vegas Golden Knights,3,Washington Capitals,2,OT,18573,2:34,
2022-11-02,Pittsburgh Penguins,3,Buffalo Sabres,6,,12201,2:28,
2022-11-02,Philadelphia Flyers,2,Toronto Maple Leafs,5,,18437,2:36,
2022-11-03,Dallas Stars,7,Arizona Coyotes,2,,4600,2:25,
2022-11-03,Nashville Predators,4,Calgary Flames,1,,16984,2:31,
2022-11-03,Los Angeles Kings,1,Chicago Blackhawks,2,OT,16658,2:30,
2022-11-03,Washington Capitals,1,Detroit Red Wings,3,,18527,2:25,
2022-11-03,New Jersey Devils,4,Edmonton Oilers,3,,17021,2:22,
2022-11-03,Seattle Kraken,4,Minnesota Wild,0,,17221,2:19,
2022-11-03,Boston Bruins,5,New York Rangers,2,,18006,2:21,
2022-11-03,Vegas Golden Knights,5,Ottawa Senators,4,,16043,2:34,
2022-11-03,Florida Panthers,4,San Jose Sharks,3,SO,10182,2:42,
2022-11-03,New York Islanders,5,St. Louis Blues,2,,18096,2:33,
2022-11-03,Carolina Hurricanes,4,Tampa Bay Lightning,3,SO,19092,3:01,
2022-11-03,Anaheim Ducks,5,Vancouver Canucks,8,,18760,2:34,
2022-11-03,Montreal Canadiens,2,Winnipeg Jets,3,OT,13729,2:27,
2022-11-04,Buffalo Sabres,3,Carolina Hurricanes,5,,18727,2:32,
2022-11-04,Columbus Blue Jackets,3,Colorado Avalanche,6,,12882,2:40,at Nokia Arena (Tampere FI)
2022-11-05,Colorado Avalanche,5,Columbus Blue Jackets,1,,12897,2:27,at Nokia Arena (Tampere FI)
2022-11-05,New Jersey Devils,4,Calgary Flames,3,OT,17386,2:38,
2022-11-05,New York Islanders,0,Detroit Red Wings,3,,19515,2:22,
2022-11-05,Dallas Stars,6,Edmonton Oilers,2,,17067,2:25,
2022-11-05,Florida Panthers,4,Los Angeles Kings,5,,16161,2:44,
2022-11-05,Vegas Golden Knights,6,Montreal Canadiens,4,,21105,2:27,
2022-11-05,Philadelphia Flyers,2,Ottawa Senators,1,,16722,2:29,
2022-11-05,Seattle Kraken,3,Pittsburgh Penguins,2,,18302,2:10,
2022-11-05,Anaheim Ducks,5,San Jose Sharks,4,SO,17562,2:47,
2022-11-05,Buffalo Sabres,3,Tampa Bay Lightning,5,,19092,2:35,
2022-11-05,Boston Bruins,1,Toronto Maple Leafs,2,,18926,2:14,
2022-11-05,Nashville Predators,4,Vancouver Canucks,3,SO,18855,2:46,
2022-11-05,Chicago Blackhawks,0,Winnipeg Jets,4,,13210,2:24,
2022-11-05,Arizona Coyotes,3,Washington Capitals,2,,18573,2:30,
2022-11-06,Florida Panthers,5,Anaheim Ducks,3,,15174,2:30,
2022-11-06,Toronto Maple Leafs,3,Carolina Hurricanes,1,,18463,2:23,
2022-11-06,Detroit Red Wings,3,New York Rangers,2,OT,18006,2:33,
2022-11-07,St. Louis Blues,1,Boston Bruins,3,,17850,2:25,
2022-11-07,Calgary Flames,3,New York Islanders,4,OT,15722,2:33,
2022-11-07,Edmonton Oilers,4,Washington Capitals,5,,18573,2:34,
2022-11-08,Arizona Coyotes,4,Buffalo Sabres,1,,10296,2:47,
2022-11-08,Montreal Canadiens,3,Detroit Red Wings,2,SO,17033,2:38,
2022-11-08,Minnesota Wild,0,Los Angeles Kings,1,,13558,2:23,
2022-11-08,Calgary Flames,2,New Jersey Devils,3,,13096,2:32,
2022-11-08,New York Islanders,4,New York Rangers,3,,18006,2:31,
